trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
447,False,"{'a': 0.01, 'e': 0.2237136465324385}",20,12,10.860014355261942,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.01, 'e': 0.2232142857142857}",25,16,4.031055820307969,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
449,False,"{'a': 0.01, 'e': 0.22271714922048996}",25,-13,-20.577194888233233,"{0: 33, 1: 0, 2: 4, 3: 0, 4: 1}",0
450,False,"{'a': 0.01, 'e': 0.2222222222222222}",20,-8,-27.909986245115405,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 1}",0
451,False,"{'a': 0.01, 'e': 0.22172949002217296}",20,15,7.7556999388459715,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.01, 'e': 0.22123893805309733}",30,8,32.81328294704518,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.01, 'e': 0.22075055187637968}",20,-8,57.957657824390466,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",0
454,False,"{'a': 0.01, 'e': 0.22026431718061673}",25,-19,-0.2912517907498242,"{0: 40, 1: 0, 2: 3, 3: 0, 4: 1}",0
455,False,"{'a': 0.01, 'e': 0.21978021978021978}",20,3,-23.264881348877243,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
456,False,"{'a': 0.01, 'e': 0.21929824561403508}",20,8,-31.34370158014498,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
457,False,"{'a': 0.01, 'e': 0.2188183807439825}",25,17,17.723091231054674,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.01, 'e': 0.2183406113537118}",35,9,36.25629803215496,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
459,False,"{'a': 0.01, 'e': 0.2178649237472767}",20,6,15.089429918366232,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
460,False,"{'a': 0.01, 'e': 0.21739130434782605}",20,10,20.21841946859174,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.01, 'e': 0.21691973969631234}",25,14,8.055131546342773,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
462,False,"{'a': 0.01, 'e': 0.21645021645021645}",20,14,12.344435931653663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.01, 'e': 0.2159827213822894}",20,-6,35.735570698902514,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",0
464,False,"{'a': 0.01, 'e': 0.21551724137931036}",20,6,-22.759506980510615,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
465,False,"{'a': 0.01, 'e': 0.2150537634408602}",25,-2,29.8807561201914,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",0
466,False,"{'a': 0.01, 'e': 0.2145922746781116}",25,8,30.361474809004335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.01, 'e': 0.21413276231263384}",30,14,23.83802592903061,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.01, 'e': 0.2136752136752137}",25,11,10.185605089430286,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
469,False,"{'a': 0.01, 'e': 0.21321961620469082}",20,-7,21.269707451998947,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",0
470,False,"{'a': 0.01, 'e': 0.2127659574468085}",20,12,15.123659721114866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.01, 'e': 0.21231422505307856}",30,10,38.59550291519152,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.01, 'e': 0.21186440677966104}",20,15,7.379200952314451,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.01, 'e': 0.2114164904862579}",25,19,4.797061332086154,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.01, 'e': 0.21097046413502107}",25,15,9.003255420866868,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
475,False,"{'a': 0.01, 'e': 0.21052631578947367}",25,11,-2.208429238803434,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
476,False,"{'a': 0.01, 'e': 0.21008403361344538}",20,9,16.889240944311865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.01, 'e': 0.20964360587002095}",30,3,39.1915365102799,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
478,False,"{'a': 0.01, 'e': 0.20920502092050208}",20,16,7.139022514969538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.01, 'e': 0.20876826722338204}",20,2,19.6862379594038,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
480,False,"{'a': 0.01, 'e': 0.20833333333333334}",25,2,-24.694762945141736,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
481,False,"{'a': 0.01, 'e': 0.20790020790020788}",20,6,-38.6027440851668,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
482,False,"{'a': 0.01, 'e': 0.20746887966804978}",25,11,29.310469236795043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.01, 'e': 0.20703933747412007}",20,2,21.32585546878291,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.01, 'e': 0.2066115702479339}",20,7,-22.0568936609448,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
485,False,"{'a': 0.01, 'e': 0.20618556701030927}",30,20,14.799631101909041,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.01, 'e': 0.20576131687242796}",20,1,-2.5074908009376475,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
487,False,"{'a': 0.01, 'e': 0.2053388090349076}",20,14,11.429076628329412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.01, 'e': 0.20491803278688525}",20,10,-25.747034117741727,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
489,False,"{'a': 0.01, 'e': 0.20449897750511248}",20,12,15.87081069968239,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.01, 'e': 0.2040816326530612}",25,14,7.951402259765006,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
491,False,"{'a': 0.01, 'e': 0.20366598778004072}",20,9,13.873526587658976,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.01, 'e': 0.2032520325203252}",30,19,19.949851889705865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.01, 'e': 0.20283975659229211}",25,11,-27.42377689388086,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
494,False,"{'a': 0.01, 'e': 0.20242914979757085}",25,-16,19.389668333259152,"{0: 39, 1: 0, 2: 1, 3: 0, 4: 1}",0
495,False,"{'a': 0.01, 'e': 0.20202020202020202}",30,15,12.381258057524583,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
496,False,"{'a': 0.01, 'e': 0.20161290322580647}",30,20,19.943640139579074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.01, 'e': 0.2012072434607646}",20,9,12.609373720497773,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
498,False,"{'a': 0.01, 'e': 0.2008032128514056}",30,17,19.839714258368694,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.01, 'e': 0.2004008016032064}",20,12,16.919741417774166,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.01, 'e': 0.2}",25,12,-12.033730054300456,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
501,False,"{'a': 0.01, 'e': 0.1996007984031936}",20,8,23.83943376195486,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.01, 'e': 0.199203187250996}",20,6,-5.4928087270695745,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
503,False,"{'a': 0.01, 'e': 0.19880715705765406}",20,8,2.9606434271786437,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
504,False,"{'a': 0.01, 'e': 0.1984126984126984}",30,3,-20.624504184356596,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
505,False,"{'a': 0.01, 'e': 0.19801980198019803}",30,9,-29.091825537955575,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
506,False,"{'a': 0.01, 'e': 0.19762845849802368}",30,20,6.627025522797819,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
507,False,"{'a': 0.01, 'e': 0.1972386587771203}",25,4,-48.095571475990035,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
508,False,"{'a': 0.01, 'e': 0.19685039370078738}",20,4,7.805941026546661,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
509,False,"{'a': 0.01, 'e': 0.19646365422396858}",30,19,17.075024986027646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.01, 'e': 0.196078431372549}",20,-7,-89.74265385177513,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 2}",0
511,False,"{'a': 0.01, 'e': 0.19569471624266144}",30,9,25.38833703615647,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
512,False,"{'a': 0.01, 'e': 0.1953125}",25,13,13.65493117513816,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
513,False,"{'a': 0.01, 'e': 0.19493177387914232}",25,17,16.276764080339635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.01, 'e': 0.19455252918287938}",25,15,-3.340784090697404,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
515,False,"{'a': 0.01, 'e': 0.1941747572815534}",20,-18,51.427393498426405,"{0: 37, 1: 0, 2: 1, 3: 0, 4: 0}",0
516,False,"{'a': 0.01, 'e': 0.19379844961240308}",35,-33,37.65434710926685,"{0: 61, 1: 0, 2: 7, 3: 0, 4: 0}",0
517,False,"{'a': 0.01, 'e': 0.19342359767891684}",20,-9,11.446735897943018,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",0
518,False,"{'a': 0.01, 'e': 0.19305019305019305}",25,20,9.943973183086804,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.01, 'e': 0.19267822736030826}",30,16,12.834379358045865,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
520,False,"{'a': 0.01, 'e': 0.1923076923076923}",20,2,21.454701962904178,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
521,False,"{'a': 0.01, 'e': 0.19193857965451055}",30,18,-3.0168653511084305,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
522,False,"{'a': 0.01, 'e': 0.19157088122605365}",25,-2,37.730337547707215,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",0
523,False,"{'a': 0.01, 'e': 0.19120458891013384}",30,17,14.191979388347836,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
524,False,"{'a': 0.01, 'e': 0.19083969465648853}",20,11,-27.2853993078114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
525,False,"{'a': 0.01, 'e': 0.19047619047619047}",20,-8,38.6760625624369,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",0
526,False,"{'a': 0.01, 'e': 0.19011406844106465}",35,18,-19.205203050895506,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
527,False,"{'a': 0.01, 'e': 0.18975332068311193}",25,4,28.428414334095827,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
528,False,"{'a': 0.01, 'e': 0.1893939393939394}",30,14,-5.733345195180034,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
529,False,"{'a': 0.01, 'e': 0.1890359168241966}",20,3,-9.687522194904302,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
530,False,"{'a': 0.01, 'e': 0.18867924528301888}",35,18,33.132939359047995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.01, 'e': 0.18832391713747645}",25,11,27.42037128911161,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.01, 'e': 0.18796992481203006}",20,13,2.374713448311683,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
533,False,"{'a': 0.01, 'e': 0.18761726078799248}",20,-6,-28.44444801001516,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 1}",0
534,False,"{'a': 0.01, 'e': 0.18726591760299627}",20,6,8.209961314378658,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
535,False,"{'a': 0.01, 'e': 0.18691588785046728}",20,5,-36.86752671448883,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
536,False,"{'a': 0.01, 'e': 0.18656716417910446}",20,-2,33.474084616907845,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",0
537,False,"{'a': 0.01, 'e': 0.186219739292365}",20,-12,13.55046037231975,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 1}",0
538,False,"{'a': 0.01, 'e': 0.1858736059479554}",30,15,30.31424279831203,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.01, 'e': 0.1855287569573284}",30,18,8.608690514984147,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
540,False,"{'a': 0.01, 'e': 0.18518518518518517}",20,5,6.396887494647799,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
541,False,"{'a': 0.01, 'e': 0.18484288354898337}",20,1,17.175638759421805,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
542,False,"{'a': 0.01, 'e': 0.18450184501845018}",20,12,13.094485643046252,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.01, 'e': 0.1841620626151013}",35,18,11.8576778005935,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
544,False,"{'a': 0.01, 'e': 0.1838235294117647}",25,-3,-17.547846638371233,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 1}",0
545,False,"{'a': 0.01, 'e': 0.18348623853211007}",25,11,16.614171347273285,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
546,False,"{'a': 0.01, 'e': 0.18315018315018314}",25,11,29.373678695624832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.01, 'e': 0.18281535648994515}",20,8,22.137673716471,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.01, 'e': 0.18248175182481752}",35,22,27.497664102279764,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.01, 'e': 0.18214936247723132}",35,23,22.547408487083768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.01, 'e': 0.18181818181818182}",20,11,12.949884207538997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.01, 'e': 0.18148820326678766}",25,7,21.61765528710545,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
552,False,"{'a': 0.01, 'e': 0.18115942028985504}",20,7,11.074512526561215,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
553,False,"{'a': 0.01, 'e': 0.18083182640144665}",25,7,-19.065592151801543,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
554,False,"{'a': 0.01, 'e': 0.18050541516245489}",20,6,25.459977966715687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.01, 'e': 0.1801801801801802}",20,-2,-24.24651126733935,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",0
556,False,"{'a': 0.01, 'e': 0.17985611510791366}",20,5,15.110720048818713,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
557,False,"{'a': 0.01, 'e': 0.17953321364452424}",20,9,-30.380127353231764,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
558,False,"{'a': 0.01, 'e': 0.17921146953405018}",20,14,10.717162834805572,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.01, 'e': 0.17889087656529518}",25,7,32.681694524546195,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.01, 'e': 0.17857142857142855}",20,12,-9.534801327665777,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
561,False,"{'a': 0.01, 'e': 0.17825311942959002}",25,7,9.732709991797293,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
562,False,"{'a': 0.01, 'e': 0.17793594306049823}",30,24,8.527077407989403,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
563,False,"{'a': 0.01, 'e': 0.17761989342806395}",25,17,2.4298133718920334,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
564,False,"{'a': 0.01, 'e': 0.1773049645390071}",35,25,16.56568492432749,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.01, 'e': 0.17699115044247787}",20,14,-3.19646469433171,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
566,False,"{'a': 0.01, 'e': 0.17667844522968199}",25,17,-7.698166470730184,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
567,False,"{'a': 0.01, 'e': 0.1763668430335097}",20,14,11.306189944215124,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.01, 'e': 0.17605633802816903}",30,14,16.960774942133774,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
569,False,"{'a': 0.01, 'e': 0.17574692442882248}",25,17,14.855131696057352,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.01, 'e': 0.17543859649122806}",25,16,-29.440947273761733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
571,False,"{'a': 0.01, 'e': 0.17513134851138354}",20,12,13.754353660422208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.01, 'e': 0.17482517482517484}",30,5,36.280046097409425,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
573,False,"{'a': 0.01, 'e': 0.17452006980802792}",20,3,22.803072224061417,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
574,False,"{'a': 0.01, 'e': 0.17421602787456444}",25,14,-20.91550628081783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
575,False,"{'a': 0.01, 'e': 0.17391304347826086}",25,20,8.526410874150251,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.01, 'e': 0.1736111111111111}",20,15,1.9043437875683937,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.01, 'e': 0.17331022530329288}",20,5,32.67414398867219,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.01, 'e': 0.17301038062283736}",20,8,22.652639676674028,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.01, 'e': 0.17271157167530224}",30,3,33.63317171647956,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.01, 'e': 0.1724137931034483}",20,8,12.652561250761945,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
581,False,"{'a': 0.01, 'e': 0.1721170395869191}",35,-3,31.955471849874854,"{0: 35, 1: 1, 2: 2, 3: 0, 4: 0}",0
582,False,"{'a': 0.01, 'e': 0.1718213058419244}",20,13,15.521554267110373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.01, 'e': 0.17152658662092624}",25,12,-9.061760738859812,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
584,False,"{'a': 0.01, 'e': 0.17123287671232876}",20,14,-31.87971384351543,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
585,False,"{'a': 0.01, 'e': 0.17094017094017092}",25,10,28.075259683358496,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.01, 'e': 0.1706484641638225}",20,14,11.958039094455868,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.01, 'e': 0.17035775127768313}",25,13,21.034091077954365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.01, 'e': 0.17006802721088435}",20,9,20.692705202264353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.01, 'e': 0.16977928692699493}",20,10,19.88240077204545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.01, 'e': 0.1694915254237288}",25,3,16.902543129218863,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
591,False,"{'a': 0.01, 'e': 0.1692047377326565}",30,20,20.263686709442002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.01, 'e': 0.16891891891891891}",30,10,43.664536922262734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.01, 'e': 0.16863406408094436}",20,13,17.06237844901583,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.01, 'e': 0.16835016835016833}",25,15,9.046883856025914,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
595,False,"{'a': 0.01, 'e': 0.1680672268907563}",20,-2,-8.358039032938905,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",0
596,False,"{'a': 0.01, 'e': 0.16778523489932887}",25,11,13.539674687068766,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
597,False,"{'a': 0.01, 'e': 0.16750418760469013}",20,3,-21.288383917164687,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
598,False,"{'a': 0.01, 'e': 0.16722408026755853}",25,16,18.663286664325387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.01, 'e': 0.1669449081803005}",20,2,28.432271864680477,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.01, 'e': 0.16666666666666666}",20,6,31.23485495111681,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.01, 'e': 0.1663893510815308}",35,18,28.075005809414773,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.01, 'e': 0.1661129568106312}",20,-16,23.278148237932083,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 1}",0
603,False,"{'a': 0.01, 'e': 0.16583747927031509}",25,15,15.786228921801744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.01, 'e': 0.16556291390728478}",30,7,-17.16656255009138,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
605,False,"{'a': 0.01, 'e': 0.1652892561983471}",25,-1,27.783007394146146,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
606,False,"{'a': 0.01, 'e': 0.16501650165016502}",25,13,17.197856678081315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.01, 'e': 0.16474464579901152}",25,7,27.569477505031454,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.01, 'e': 0.16447368421052633}",20,13,12.685996098944974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.01, 'e': 0.16420361247947454}",25,14,20.12563355262251,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.01, 'e': 0.16393442622950818}",20,8,10.231342037406042,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
611,False,"{'a': 0.01, 'e': 0.1636661211129296}",20,1,-4.215555582861262,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
612,False,"{'a': 0.01, 'e': 0.16339869281045752}",30,-5,17.26269501238843,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
613,False,"{'a': 0.01, 'e': 0.1631321370309951}",25,2,12.756388201915563,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
614,False,"{'a': 0.01, 'e': 0.16286644951140064}",30,11,36.533968430778444,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.01, 'e': 0.16260162601626016}",20,-11,32.11921414631831,"{0: 29, 1: 0, 2: 2, 3: 0, 4: 0}",0
616,False,"{'a': 0.01, 'e': 0.16233766233766234}",25,4,38.32090221684363,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.01, 'e': 0.1620745542949757}",20,-6,-24.572085502114113,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",0
618,False,"{'a': 0.01, 'e': 0.16181229773462785}",20,0,-4.391934817736929,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
619,False,"{'a': 0.01, 'e': 0.16155088852988692}",20,6,-14.303349504740103,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
620,False,"{'a': 0.01, 'e': 0.16129032258064516}",20,9,22.715869072323812,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.01, 'e': 0.1610305958132045}",20,2,22.62478163639484,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
622,False,"{'a': 0.01, 'e': 0.1607717041800643}",30,11,7.871977583617214,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
623,False,"{'a': 0.01, 'e': 0.16051364365971107}",25,14,10.230202909603868,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
624,False,"{'a': 0.01, 'e': 0.16025641025641024}",35,17,36.26426341575352,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.01, 'e': 0.16}",25,10,26.562280882004877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.01, 'e': 0.1597444089456869}",20,16,8.107317042229717,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.01, 'e': 0.15948963317384368}",20,0,-14.173996421842558,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
628,False,"{'a': 0.01, 'e': 0.1592356687898089}",20,1,-19.653982294591756,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
629,False,"{'a': 0.01, 'e': 0.1589825119236884}",30,21,17.55043411495984,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.01, 'e': 0.15873015873015872}",20,12,16.25424419501553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.01, 'e': 0.15847860538827258}",20,5,15.39614814682116,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
