trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.01, 'e': 2.3255813953488373}",30,-10,-167.44326443321773,"{0: 24, 1: 6, 2: 6, 3: 2, 4: 2}",0
44,False,"{'a': 0.01, 'e': 2.272727272727273}",20,7,-115.38484238331269,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 2}",1
45,False,"{'a': 0.01, 'e': 2.2222222222222223}",20,-11,-160.19746453958655,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 2}",0
46,False,"{'a': 0.01, 'e': 2.1739130434782608}",20,-40,-330.9833548785152,"{0: 36, 1: 4, 2: 13, 3: 2, 4: 5}",0
47,False,"{'a': 0.01, 'e': 2.127659574468085}",20,-100,-537.3636033315552,"{0: 69, 1: 15, 2: 28, 3: 2, 4: 6}",0
48,False,"{'a': 0.01, 'e': 2.0833333333333335}",20,10,-7.749694222377391,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 2.0408163265306123}",30,-100,-523.8888104310504,"{0: 83, 1: 10, 2: 27, 3: 4, 4: 6}",0
50,False,"{'a': 0.01, 'e': 2.0}",20,-73,-500.19510276216766,"{0: 58, 1: 10, 2: 14, 3: 2, 4: 9}",0
51,False,"{'a': 0.01, 'e': 1.9607843137254901}",30,-100,-617.7901085614732,"{0: 85, 1: 12, 2: 20, 3: 2, 4: 11}",0
52,False,"{'a': 0.01, 'e': 1.923076923076923}",20,-80,-497.13327021567164,"{0: 64, 1: 8, 2: 18, 3: 2, 4: 8}",0
53,False,"{'a': 0.01, 'e': 1.8867924528301885}",25,-15,-225.98602753450157,"{0: 25, 1: 1, 2: 8, 3: 3, 4: 3}",0
54,False,"{'a': 0.01, 'e': 1.8518518518518516}",20,-100,-569.4414922863195,"{0: 71, 1: 16, 2: 21, 3: 5, 4: 7}",0
55,False,"{'a': 0.01, 'e': 1.8181818181818181}",25,-5,-89.39211614859605,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 1.7857142857142856}",25,-69,-469.9601754655829,"{0: 54, 1: 11, 2: 19, 3: 5, 4: 5}",0
57,False,"{'a': 0.01, 'e': 1.7543859649122806}",20,-100,-709.7207721389732,"{0: 63, 1: 15, 2: 28, 3: 6, 4: 8}",0
58,False,"{'a': 0.01, 'e': 1.7241379310344829}",30,-100,-742.4355942652431,"{0: 77, 1: 17, 2: 21, 3: 2, 4: 13}",0
59,False,"{'a': 0.01, 'e': 1.6949152542372883}",20,9,-101.61800482837874,"{0: 5, 1: 0, 2: 3, 3: 2, 4: 1}",1
